Agency,Agency Type,Distribution Channel,Product Name,Gender,Duration,Destination,Net Sales,Commision (in value),Age
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,20,MALAYSIA,39.6,23.76,47
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,4,THAILAND,66.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,13,AUSTRALIA,24.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,11,INDONESIA,20.0,0.0,52
JZI,Airlines,Online,Basic Plan,M,5,MALAYSIA,18.0,6.3,48
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,22,VIET NAM,10.0,0.0,31
C2B,Airlines,Online,Silver Plan,F,16,SINGAPORE,54.6,13.65,25
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,25,HONG KONG,29.0,0.0,35
C2B,Airlines,Online,Silver Plan,F,7,SINGAPORE,46.8,11.7,37
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,3,UNITED KINGDOM,51.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,37,VIET NAM,20.0,0.0,36
JZI,Airlines,Online,Basic Plan,M,7,THAILAND,18.0,6.3,38
C2B,Airlines,Online,Silver Plan,F,12,SINGAPORE,18.5,4.63,32
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,24,HONG KONG,20.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,52,AUSTRALIA,28.0,0.0,36
JZI,Airlines,Online,Basic Plan,M,24,"KOREA, REPUBLIC OF",44.0,15.4,37
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,4,AUSTRALIA,29.7,17.82,38
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,12,PAKISTAN,59.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,21,SINGAPORE,80.0,0.0,35
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,30,SINGAPORE,34.0,0.0,36
